City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Pucallpa,PE,-8.3791,-74.5539,84.2,70,40,3.44,scattered clouds
242,Coruripe,BR,-10.1256,-36.1756,77.59,83,34,8.32,scattered clouds
243,Talara,PE,-4.5772,-81.2719,71.82,78,72,9.57,broken clouds
244,Sept-Iles,CA,50.2001,-66.3821,28.4,100,90,17.27,snow
245,Bonthe,SL,7.5264,-12.505,78.66,88,62,3.91,broken clouds
246,Rio Gallegos,AR,-51.6226,-69.2181,48.2,61,0,3.44,clear sky
247,Codrington,AU,-38.2667,141.9667,61.9,61,90,5.59,overcast clouds
248,Pitimbu,BR,-7.4706,-34.8086,77.0,100,0,3.44,light rain
249,Solnechnyy,RU,50.7214,136.6319,31.95,88,100,6.11,overcast clouds
250,Jinji,CN,23.2281,110.8261,76.87,78,31,3.44,scattered clouds
251,Tazovskiy,RU,67.4667,78.7,-14.75,99,35,8.72,scattered clouds
252,Karlskrona,SE,56.1616,15.5866,42.8,100,90,8.05,overcast clouds
253,Guerrero Negro,MX,27.9769,-114.0611,78.17,28,29,11.1,scattered clouds
254,Sangar,RU,63.9242,127.4739,13.12,93,100,6.33,overcast clouds
255,Boende,CD,-0.2167,20.8667,74.05,81,95,1.99,overcast clouds
256,Bocas Del Toro,PA,9.3333,-82.25,66.99,63,12,14.0,few clouds
257,Chapais,CA,49.7834,-74.8492,30.2,93,90,10.36,light snow
258,Mahebourg,MU,-20.4081,57.7,75.2,88,20,5.75,few clouds
259,Naifaru,MV,5.4444,73.3657,83.82,72,88,13.24,overcast clouds
260,Assiniboia,CA,49.6334,-105.9845,62.6,23,91,14.97,overcast clouds
261,Goundi,TD,9.3627,17.366,80.37,28,54,4.32,broken clouds
262,Illapel,CL,-31.6308,-71.1653,67.6,61,0,2.75,clear sky
263,Cherskiy,RU,68.75,161.3,-0.2,83,99,4.05,overcast clouds
264,Ribeira Grande,PT,38.5167,-28.7,60.37,84,100,22.84,overcast clouds
265,Birin,NP,26.8865,88.0718,62.6,82,40,2.3,mist
